2026-03-05 00:24:48 | INFO     | system          | init_user            | Created default user: admin
2026-03-05 21:28:45 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-05 21:29:29 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-05 21:29:53 | WARNING  | aryan           | login_failed         | Login FAILED - Username: aryan, IP: unknown
2026-03-05 22:14:38 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-05 22:15:07 | INFO     | aryan           | signup_success       | New user registered: aryan
2026-03-05 22:15:15 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-05 22:15:15 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-05 22:15:23 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-05 22:15:23 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-05 22:15:27 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-05 22:15:28 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-05 22:15:28 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-05 22:24:28 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-06 23:45:11 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-06 23:45:41 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-06 23:45:41 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-06 23:45:44 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-06 23:45:44 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-06 23:45:47 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-06 23:45:47 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-06 23:46:08 | INFO     | qqq             | signup_success       | New user registered: qqq
2026-03-06 23:46:19 | INFO     | qqq             | login_success        | Login SUCCESS - Username: qqq, IP: unknown
2026-03-06 23:46:19 | INFO     | qqq             | session_expired      | Session expired for user: qqq
2026-03-06 23:51:01 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-06 23:51:02 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-06 23:51:14 | WARNING  | aryan           | signup_failed        | Signup failed - username already exists: aryan
2026-03-06 23:51:17 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-06 23:51:17 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-06 23:55:50 | INFO     | system          | init_user            | Created default user: admin
2026-03-06 23:56:25 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:00:15 | WARNING  | aryan           | login_failed         | Login FAILED - Username: aryan, IP: unknown
2026-03-07 00:00:25 | INFO     | aryan           | signup_success       | New user registered: aryan
2026-03-07 00:00:31 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-07 00:00:31 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-07 00:00:39 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-07 00:00:39 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-07 00:04:48 | INFO     | aryan           | login_success        | Login SUCCESS - Username: aryan, IP: unknown
2026-03-07 00:04:49 | INFO     | aryan           | session_expired      | Session expired for user: aryan
2026-03-07 00:10:29 | INFO     | system          | init_user            | Default user already exists: admin
2026-03-07 00:21:50 | INFO     | qwerty          | signup_success       | New user registered: qwerty
2026-03-07 00:22:01 | INFO     | qwerty          | login_success        | Login SUCCESS - Username: qwerty, IP: unknown
2026-03-07 00:24:13 | INFO     | system          | init_groq            | Groq client initialized with model: llama-3.3-70b-versatile
2026-03-07 00:24:24 | INFO     | qwerty          | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 484
2026-03-07 00:24:39 | INFO     | qwerty          | api_call             | Groq API call - Model: llama-3.3-70b-versatile, Tokens: 518
2026-03-07 00:25:01 | INFO     | system          | init_groq            | Groq client initialized with model: mixtral-8x7b-32768
2026-03-07 00:25:10 | INFO     | system          | init_groq            | Groq client initialized with model: mixtral-8x7b-32768
2026-03-07 00:25:21 | ERROR    | qwerty          | error                | Groq API call - Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}
2026-03-07 00:34:50 | INFO     | system          | init_user            | Default user already exists: admin
